maalesfe	maalesef	. Monaco'da 3 yıl oynamıştır. 2001 yılında 4.500.000 milyon sterline Liverpool'a transfer olmuştur.2008-2009 sezonunda AS Roma kulübünde forma giyecektir.Roma defansının solunda Ferrari'nin ayrılmasıyla oluşan boşluğu önümüzdeki sezon Riise'nin doldurması bekleniyor.Ama	. Monaco'da 3 yıl oynamıştır. 2001 yılında 4.500.000 milyon sterline Liverpool'a transfer olmuştur.2008-2009 sezonunda AS Roma kulübünde forma giyecektir.Roma defansının solunda Ferrari'nin ayrılmasıyla oluşan boşluğu önümüzdeki sezon Riise'nin doldurması bekleniyor.Ama	Riise As Roma'da çok sevdiği 6 numaralı formasını klübün 6 numaralı formanın Aldair'in anısına emekliye ayırışından dolayı giyemeyecek	Riise A.S	noise:jumble	nonword
eğlence	Eğlence	Türler Uygulamalı bilimler Yapay zeka  Seramik mühendiliği  Bilgisayar teknolojisi  Elektronik  enerji  Enerji depolama  Fizik Mühendisliği  Çevresel teknolojiler  Malzeme bilimi  Malzeme mühendisliği  Mikroteknoloji  Nanoteknoloji  Nükleer teknoloji  Optik mühendisliği  Kuantum bilgisayarı ile hesaplama Atletizm ve	• Teknolojinin önemli alanları • Uygulamalı bilimler Yapay zeka • Seramik mühendiliği • Bilgisayar teknolojisi • Elektronik • Enerji • Enerji depolama • Fizik Mühendisliği • Çevresel teknolojiler • Malzeme bilimi • Malzeme mühendisliği • Mikroteknoloji • Nanoteknoloji • Nükleer teknoloji • Optik mühendisliği • Kuantum bilgisayarı ile hesaplama Atletizm ve	Kamp eşyaları  Oyun bahçesi  Spor  Spor eşyaları Bilgi ve iletişim İletişim teknolojisi  Grafik  Müzik teknolojisi  Konuşma algılaması  Görsel teknolojiler Sanayi Yapım  Bilgisayarlı maliye  Üretim  Makine  Madencilik Askeri Bombalar  Silahlar ve cephane  Askeri teknoloji ve malzemeler  Deniz mühendisliği Ev ile ilgili Ev eşyaları  Eğitim teknolojileri  Gıda teknolojisi Mühendislik Ağaç İşleri Endüstri Mühendisliği  Biyomedikal Mühendisliği  Biyomühendislik  Bilgisayar Mühendisliği  Çevre Mühendisliği  Deniz Teknolojisi Mühendisliği  Elektrik-Elektronik Mühendisliği  Elektronik Mühendisliği  Elektrik Mühendisliği  Endüstri Mühendisliği  Fizik Mühendisliği  Gemi İnşaat	Kamp eşyaları • Oyun bahçesi • Spor • Spor eşyaları Bilgi ve iletişim İletişim teknolojisi • Grafik • Müzik teknolojisi • Konuşma algılaması • Görsel teknolojiler Sanayi İnşaat • Finans mühendisliği • Üretim • Makine • Madencilik Askeri Bomba • Silah ve Kovan • Askeri malzemeler • Gemi makinaları mühendisliği Ev ile ilgili Elektronik eşyalar • Beyaz eşyalar • Eğitim teknolojileri • Gıda teknolojisi Mühendislik Ağaç İşleri Endüstri Mühendisliği • Biyomedikal Mühendisliği • Biyomühendislik • Bilgisayar Mühendisliği • Çevre Mühendisliği • Deniz Teknolojisi Mühendisliği • Elektrik-Elektronik Mühendisliği • Elektronik Mühendisliği • Elektrik Mühendisliği • Endüstri Mühendisliği • Fizik Mühendisliği •	capital	word
KÖSE	Köse	. Arkasındaki önemli maddi destek sayesinde 2. Lig'de oynadığı dönemde bile Emrah	. Arkasındaki önemli maddi destek sayesinde 2. Lig'de oynadığı dönemde bile Emrah	gibi yıldızlarla kadrosunu kuran Alikahyaspor 1	gibi yıldızlarla kadrosunu kuran İstanbulspor 1	capital	word
GIDA TEKNOLOJİSİ	Gıda Teknolojisi	Yükseköğretim kurulu başkanlığının 24.04.2006 tarih ve 008822 sayılı yazısına istinaden Kırklareli Meslek Yüksekokulu kapatılarak yerine teknik programları bünyesinde bulunduran "Kırklareli Teknik Bilimler Meslek Yüksekokulu" ve iktisadi ve idari programları bünyesinde bulunduran "Kırklareli Sosyal Bilimler Meslek Yüksekokulu" Trakya Üniversitesi Rektörlüğünün teklifi ile 26.05.2006 tarihinde açılmıştır. Halen iki okul da Eğitim Öğretim faaliyetlerini aynı binada sürdürmektedir.Gündüz eğitiminde, İNŞAAT, HALICILIK VE DESİNATÖRLÜĞÜ ile (Süt Ve Ürünleri 2000-2001 öğretim yılında kapatıldı.)	Yükseköğretim kurulu başkanlığının 24.04.2006 tarih ve 008822 sayılı yazısına istinaden Kırklareli Meslek Yüksekokulu kapatılarak yerine teknik programları bünyesinde bulunduran "Kırklareli Teknik Bilimler Meslek Yüksekokulu" ve iktisadi ve idari programları bünyesinde bulunduran "Kırklareli Sosyal Bilimler Meslek Yüksekokulu" Trakya Üniversitesi Rektörlüğünün teklifi ile 26.05.2006 tarihinde açılmıştır. Halen iki okul da Eğitim Öğretim faaliyetlerini aynı binada sürdürmektedir.Gündüz eğitiminde, İmşaat, Halıcılık ve Destinatörlüğü ile (Süt Ve Ürünleri 2000-2001 öğretim yılında kapatıldı.)	ve MADEN(öğrenci almıyor) olmak üzere toplam 4 akademik program mevcuttur.Gece eğitiminde; 3802 Sayılı Yasa ile (METEB) 2002-2003 Öğretim Yılında Yüksekokulda BİLGİSAYAR TEKNOLOJİSİ VE PROGRAMLAMA, ELEKTRİK, ENDÜSTRİYEL ELEKTRONİK, TEKSTİL, MAKİNE, KAYNAK TEKNOLOJİSİ (2003-2004 Öğretim yılında kapatıldı) , MOBİLYA VE DEKORASYON olmak üzere toplam 7 akademik program açılarak eğitimine devam etmektedir	ve Maden(öğrenci almıyor) olmak üzere toplam 4 akademik program mevcuttur.Gece eğitiminde; 3802 Sayılı Yasa ile (METEB) 2002-2003 Öğretim Yılında Yüksekokulda Bilgisayar Teknolojisi ve Programlama, Elektrik, Endüstriyel Elektronik, Tekstil, Makine, Kaynak Teknolojisi (2003-2004 Öğretim yılında kapatıldı) , Mobilya ve Dekorasyon olmak üzere toplam 7 akademik program açılarak eğitimine devam etmektedir	capital	word
ptt	PTT	. Köyün hem içme suyu şebekesi hem kanalizasyon şebekesi vardır. Ptt şubesi ve	. Köyün hem içme suyu şebekesi hem kanalizasyon şebekesi vardır. PTT şubesi ve	acentesi yoktur	acentesi yoktur	capital	nonword
Uzun	uzun	. bu sonuç Ermenistan'ın tarihinde aldığı en kötü sonuçtur. 2012 yılında ülke o yılın ev sahibi Azerbaycan'la	. bu sonuç Ermenistan'ın tarihinde aldığı en kötü sonuçtur. 2012 yılında ülke o yılın ev sahibi Azerbaycan'la	süredir var olan gerginlikler olması nedeniyle yarışmadan çekilmiştir	süredir var olan siyasî gerginlikler nedeniyle yarışmadan çekilmiştir	capital	word
EKİM	Ekim	28	28	- Bahar Genç	- Bahar Genç	capital	word
ptt	PTT	. Köyün hem içme suyu şebekesi hem kanalizasyon şebekesi vardır. Ptt şubesi yoktur ancak	. Köyün hem içme suyu şebekesi hem kanalizasyon şebekesi vardır. PTT şubesi yoktur ancak	acentesi vardır	acentesi vardır	capital	nonword
Ptt	PTT	Köyde ilköğretim okulu vardır. Köyün hem içme suyu şebekesi hem kanalizasyon şebekesi vardır.	Köyde ilköğretim okulu vardır. Köyün hem içme suyu şebekesi hem kanalizasyon şebekesi vardır.	şubesi ve ptt acentesi yoktur	şubesi ve PTT acentesi yoktur	capital	nonword
tarihinda	tarihinde	Ömer Anlağan Türkiye Bilimsel ve Teknolojik Araştırma Kurumu (TÜBİTAK) Başkan Yardımcısı. 26 Ocak 2004	Ömer Anlağan Türkiye Bilimsel ve Teknolojik Araştırma Kurumu (TÜBİTAK) Başkan Yardımcısı. 26 Ocak 2004	TÜBİTAK Başkan Yardımcısı olarak atandı	TÜBİTAK Başkan Yardımcısı olarak atandı	noise:sub	nonword
Misketi	misketi	Bornova	Bornova	(İzmir ve Ege)	(İzmir ve Ege)	capital	word
Tarihçileri	tarihçileri	Kategori:Din	Kategori:Din			capital	word
Ölümü	ölümü	Tahta Dönüşü, Kosova Savaşı ve	Tahta dönüşü, Kosova Savaşı ve			capital	word
Günay	Güney	. Yufkanın katlanış biçimi, içerisine sürülen fasulye püresi, et, tavuk, peynir gibi malzemelerle, değişik çeşitler hazırlanarak, hızla Avrupa'ya kadar yayıldı. Ülkemizde de	. Yufkanın katlanış biçimi, içerisine sürülen fasulye püresi, et, tavuk, peynir gibi malzemelerle, değişik çeşitler hazırlanarak, hızla Avrupa'ya kadar yayıldı. Ülkemizde de	Amerika Yemekleri servisi yapılan restoranlarında bulabileceğiniz Burrito lezzetli ve her zevke göre çeşitlerde bulunabiliyor	Amerika Yemekleri servisi yapılan restoranlarında bulabileceğiniz Burrito lezzetli ve her zevke göre çeşitlerde bulunabiliyor	noise:sub	word
KANALDAN VE	Kanaldan ve	DIGITURK 69.KANALDAN, D-SMART 50.	Digiturk 69.kanaldan, D-Smart 50.	Turksat 3A UYDUSUNDAN 11.860 YATAY (HORIZONTAL) 27.500 5/6 PARAMETRELERİ İLE SEYREDİLEBİLMEKTEDİR	Turksat 3A uydusundan 11.860 Yatay (Horizontal) 27.500 5/6 parametreleri ile seyredilebilmektedir	capital	word
Meydandaki	Meydan'daki	1961 - Sovyetler Birliği Komünist Partisi 25. Kongresi'nde, geçmişteki hataları nedeniyle suçlanan Josef Stalin'in naaşı Moskova Kızıl	1961 - Sovyetler Birliği Komünist Partisi 25. Kongresi'nde, geçmişteki hataları nedeniyle suçlanan Josef Stalin'in naaşı Moskova Kızıl	mozoleden çıkarıldı	mozoleden çıkarıldı	punct	word
uygulamarı	uygulaması	Yemeksepeti.com, web sitesi haricinde mobil olarak iPhone için iPhone uygulaması ve Android ve Windows	Yemeksepeti.com, web sitesi haricinde mobil olarak iPhone için iPhone uygulaması ve Android ve Windows	ile hizmet vermektedir	ile hizmet vermektedir	noise:sub	nonword
bölgesinde	Bölgesi'nde	. Hala köy halkı yaylalara çıkmaya devam etmektedir. Ormanları Ege	Ege yörükleri tarafından kurulan köyün ilçe merkezine uzaklığı 25 km'dir. Ege	bulunan en uzun çam ve kayın ormanlarına sahiptir	bulunan en uzun çam ve kayın ormanlarına sahiptir	punct-capital	word
okyanus'u	okyanusu	Tanzanya'nın eski başkent'i. Hint	Tanzanya'nın eski başkent'i. Hint	kıyısında kurulmuştur ve Tanzanyanın en büyük şehridir	kıyısında kurulmuştur ve Tanzanyanın en büyük şehridir	punct	word
bitti	Bitti	Oyun	Oyun			capital	word
yönetmini	yönetimini	Uzun süren alt küme mücadelelerinden sonra İşadamı Cem Uzan'ın	Uzun süren alt küme mücadelelerinden sonra İşadamı Cem Uzan'ın	ele almasıyla her yıl bir üst lige çıktı ve 1995 yılında büyük bir transfer atağı eşliğinde Türkiye Süper Ligine çıktı	ele almasıyla her yıl bir üst lige çıktı ve 1995 yılında büyük bir transfer atağı eşliğinde Türkiye Süper Ligine çıktı	noise:delete	nonword
ptt	PTT	. Köyün hem içme suyu şebekesi hem kanalizasyon şebekesi vardır. Ptt şubesi ve	. Köyün hem içme suyu şebekesi hem kanalizasyon şebekesi vardır. PTT şubesi ve	acentesi yoktur	acentesi yoktur	capital	nonword
öel	özel	Google Apps kuruluşlara	Google Apps kuruluşlara	bir google hizmetidir	bir google hizmetidir	noise:delete	nonword
Googlee	Google'a	. Dava gerekçesinde, "Google genellikle cezalandırılmış olduğu Web sitelere haber vermez ve Web siteler cezalandırıla neden ayrıntılı olarak açıklanmaz", ifade edilmiştirKinderStart sues Google over Pageranks!, Reuters via CNN, 19 March 2006. Kinderstart	. Dava gerekçesinde, "Google genellikle cezalandırmış olduğu Web sitelerine haber vermez ve Web sitelerinin cezalandırılma nedenini ayrıntılı olarak açıklamaz", ifade edilmiştirKinderStart sues Google over Pageranks!, Reuters via CNN, 19 March 2006. Kinderstart	rakip oldukları için cezalandırıldıklarını iddia etti (yeni bir arama motoru yaratmakla)	rakip oldukları için cezalandırıldıklarını iddia etti (yeni bir arama motoru yaratmakla)	noise:other	nonword
king	King			of the ring	of the Ring	capital	nonword
Abdülhamit	Abdülhamid	I.	I.	1774 - 1789	1774 - 1789	noise:sub	word
ptt	PTT	. Köyün hem içme suyu şebekesi hem kanalizasyon şebekesi vardır. Ptt şubesi ve	. Köyün hem içme suyu şebekesi hem kanalizasyon şebekesi vardır. PTT şubesi ve	acentesi yoktur	acentesi yoktur	capital	nonword
yildizlarin yaninda	yıldızların yanında	2013 yilinda Transfer oldugu, Ertegün kardeslerin kurdugu ,bir dönem Pele,Carlos Alberto gibi	2013 yılında Transfer olduğu, Ertegün kardeslerin kurduğu ,bir dönem Pele,Carlos Alberto gibi	eski Tûrk Futbolcu Yasin Özdenak'inda forma giydigi Kuzey Amerika (NASL) takimi New York Cosmos'da 2 sezon oynayip sampiyon olma basarisini göstermis 39	eski Tûrk Futbolcu Yasin Özdenak'ın da forma giydiği Kuzey Amerika (NASL) takımı New York Cosmos'da 2 sezon oynayip şampiyon olma basarisini göstermis 39	ascii	nonword
bazi Cin yazilarinda	bazı Çin yazılarında	. Ayrica bu halk grubuna yüzyillar boyunca Saklar ve Sarmatlar gibi bircok indo-cermen kavimleri, mogol kavimleri ve Cin'den sürülmüs olan bazi coban halklarinin karismis olmasi gerektigi düsünülür. Mesela m.ö.349 yilindan kalma	. Ayrıca bu halk grubuna yüzyıllar boyunca Saklar ve Sarmatlar gibi birçok indo-cermen kavimleri, moğol kavimleri ve Çin'den sürülmüş olan bazı çoban halklarının karışmış olması gerektiği düşünülür. Mesela m.ö.349 yılından kalma	Hiung-nu halk birikiminin 19 boyundan biri oldugu belirtilen "Çiğ"-kavimi, (Asya türkleri icin tipik olmiyan) uzun burunlari ve uzun sakallari ile cinlerin dikkatini cekmislerdir	Hiung-nu halk birikiminin 19 boyundan biri olduğu belirtilen "Çiğ"-kavimi, (Asya türkleri için tipik olmiyan) uzun burunları ve uzun sakalları ile çinlerin dikkatini çekmişlerdir	ascii	nonword
Resime	Resme	. Üç büyük yarı otobiyografik cilt: Khvalynshk, Euclid's Space ve Samarkandia'yı yazdı. Bunlardan ilk ikisi en iyi Rus edebiyatıyla eşdeğer düzeyde düşünülür.	. Üç büyük yarı otobiyografik cilt: Khvalynshk, Euclid's Space ve Samarkandia'yı yazdı. Bunlardan ilk ikisi en iyi Rus edebiyatıyla eşdeğer düzeyde düşünülür.	dönüşü şüpheliydi: teknik ressamlığı karikatür gibi oldu ve konuları genellikle hicivliydi	dönüşü şüpheliydi: teknik ressamlığı karikatür gibi oldu ve konuları genellikle hicivliydi	noise:insert	nonword
lig	Lig	. 2010 yılında profesyonelliğe geçiş mukavelesi imzalayarak as takıma yükseldi. 2 sene as takımda oynayan Salih, Fenerbahçe ve bir çok Süper	. 2010 yılında profesyonelliğe geçiş mukavelesi imzalayarak as takıma yükseldi. 2 sene as takımda oynayan Salih, Fenerbahçe ve birçok Süper	takımın transfer listesine girmiş fakat 1,4 milyon Euro + Okan Alkan karşılığında Fenerbahçe'ye transfer olmuştur	takımın transfer listesine girmiş fakat 1,4 milyon Euro + Okan Alkan karşılığında Fenerbahçe'ye transfer olmuştur.Fenerbahçe Salih Uçan'ı açıkladı! Salih Ziraat Türkiye Kupası'nda Göztepe maçında Fenerbahçe kariyerinde ilk kez bir resmî maçta ilk 11'de forma giymiştir	capital	word
paşa'nın	paşanın	Paşa köyünde yaşayan insanların ataları SUDAN'dan çiftçilik yapsınlar diye Osmanlı döneminde görevli bir	Paşa köyünde yaşayan insanların ataları Sudan'dan, çiftçilik yapsınlar diye Osmanlı döneminde görevli bir	Çukurova bölgesine tayini çıkınca tarımda pamuk yetiştiriciliğinde uzman oldukları için yaklaşık 10 aileyi beraberinde ÇUKUROVA bölgesine getirmiştir	Çukurova bölgesine tayini çıkınca tarımda ve pamuk yetiştiriciliğinde uzman oldukları için yaklaşık 10 aileyi beraberinde Çukurova bölgesine getirmiştir	punct	word
tum	tüm	Kovancilara bagli köyde yasayanlarin tamami aslinda kürt asillidirlar..Anadolu'nun türklestirilmesi politikasi dogrultusunda,bu köyde yasayan ailelere türkce isimler verilmis ve Köyün adid degismitir..Köyün asil di karur'dur.Bunun anlami kär'dan gelmektedir.Köyde yasayanlarin ticarete olan yatkinligi ve becerileri sayesinde bu sekilde adlandirilmistir..''Ur''un anlamida genelde dglik vey taslik anlamina gelmektedir.Suan köyde yasayan iki aile disinda hepsi köyün kurulumundn bu yana yasayan ilelerdir..Köyün hepsi kiz alip verme dolayisila birbirine akraba olmustur.Köyden yurtdisina cok fazla göc verilmisitr,bunlarin basliclari Almanya ve frans olmak uzere diger	Kovancilara bagli köyde yasayanlarin tamami aslinda kürt asillidirlar..Anadolu'nun türklestirilmesi politikasi dogrultusunda,bu köyde yasayan ailelere türkce isimler verilmis ve Köyün adi degismitir..Köyün asil adi ''karur''dur.Bunun anlami kär'dan gelmektedir.Köyde yasayanlarin ticarete olan yatkinligi ve becerileri sayesinde bu sekilde adlandirilmistir..''Ur''un anlamida genelde daglik veya taslik anlamina gelmektedir.Suan köyde yasayan iki aile disinda hepsi köyün kurulumundn bu yana yasayan ailelerdir..Köyün hepsi kiz alip verme dolayisila birbirine akraba olmustur.Köyden yurtdisina cok fazla göc verilmisitr,bunlarin baslicalari Almanya ve Fransa olmak uzere diger	avrupa ülkelerinde yasayan vatandaslar vardir..Köy milli ve manevi degerlerine cok bagli olup onlari hep sahiplenmis olup civr en örnek köylerin basinda gelmektedir	avrupa ülkelerinde yasayan vatandaslar vardir..Köy milli ve manevi degerlerine cok bagli olup onlari hep sahiplenmis,civar köylere en örnek köylerin basinda gelmektedir	ascii	nonword
elmaları	Elmaları	Hesperidler'in altın elmalarını getirmek.	Hesperidler'in altın elmalarını getirmek.	almak için altın elma ağacını koruyan kızları ve daha da önemlisi onların ejderini geçmesi gerekiyordu	almak için altın elma ağacını koruyan kızları ve daha da önemlisi onların ejderini geçmesi gerekiyordu	capital	word
Yıllarına Göre Muhtarlar	yıllarına göre muhtarlar	Görev	Görev			capital	word
hemde	hem de	. islam kültürünün korunması ve kollanmasında büyük katkıları olan köy, halen imam yetiştirmeye hayranlık duymaktadırlar. İslam dinine hizmet vermek için uğraşan bu köy çevre köylerin de bu konuda hem takdirlerini kazanmışlar ve	. islam kültürünün korunması ve kollanmasında büyük katkıları olan köy, halen imam yetiştirmeye hayranlık duymaktadırlar. İslam dinine hizmet vermek için uğraşan bu köy çevre köylerin de bu konuda hem takdirlerini kazanmışlar ve	bu köye gıpta etmektedirler	bu köye gıpta etmektedirler	space:split	word
gemi'nin	geminin	Titanic köprüsünden, sancak tarafında bulunan bir	Titanic köprüsünden, sancak tarafında bulunan bir	ışıkları görünebiliyordu, gemi'nin Titanic'e olan ortalama uzaklığı 16–24 km civarındaydı	ışıkları görünebiliyordu, geminin Titanic'e olan ortalama uzaklığı 16–24 km civarındaydı	punct	word
Türkiyede	Türkiye'de	Dizi	Dizi	TNT TV Türkçe Dublajlı Yayınlanmaktadır	TNT TV tarafından Türkçe dublajlı olarak yayınlanmaktadır	punct	word
çepni	Çepni	. çepni ler daha çok giresun yöresine yerleşmlerdir .ordu trabzon rize artvin samsun yörelerinede yoğun olarak yerleşmişlerdir.çepniler türklerin hareketli,asi, sert mizaçlı bir boyudur. zaten ahir ekseriyeti ozamanlar rum olan bu bölgeye yerleştirilmelerinin sebebi de budur.çepniler bu misyonunu kurtuluş savaşı sırasındada devam ettirmişler,aslen bir	. Çepni ler daha çokGiresun yöresine yerleşmlerdir .Ordu Trabzon Rize Artvin Samsun yörelerinede yoğun olarak yerleşmişlerdir.Çepniler türklerin hareketli,asi, sert mizaçlı bir boyudur. Zaten ahir ekseriyeti ozamanlar rum olan bu bölgeye yerleştirilmelerinin sebebi de budur.Çepniler bu misyonunu kurtuluş savaşı sırasındada devam ettirmişler,aslen bir	türkü olan gazi topal osman ağa müfrezeleri ile rumları karadenizden defetmişlerdir.bafrada neiyan rum çetelerinin bu köydede katliam yaptığ ve topal osman yanında hüseyin avni alparslan olduğu halde bu köye bizzat gelği dr rıza nur un topal osman ismli kitabında yazmaktadır.artık çepnilerle karadeniz adeta etle kemik gibi olmuştur.===Kültür===	türkü olan GaziTopal Osman ağa müfrezeleri ile rumları karadenizden defetmişlerdir.Bafrada Nebiyan rum çetelerinin bu köydede katliam yaptığ ve Topal Osman yanında Hüseyin Avni Alparslan olduğu halde bu köye bizzat gelği dr Rıza Nur un Topal Osman ismli kitabında yazmaktadır.artık Çepnilerle karadeniz adeta etle kemik gibi olmuştur.===Kültür===	capital	nonword
Halıclık	Halıcılık					noise:delete	nonword
1917de	1917'de	Birinci Dünya Savaşı'nda askere alındığı için sanat hayatı aksadı.	Birinci Dünya Savaşı'nda askere alındığı için sanat hayatı aksadı.	terhis olduktan sonra sanatsever "Leonce Rosenberg" tarafından desteklenen bir grup Kubist artist arasına girdi	terhis olduktan sonra sanatsever "Leonce Rosenberg" tarafından desteklenen bir grup Kubist artist arasına girdi	punct	word
bilim kurgu	bilimkurgu	1996 yılında Cannes Film Festivali'nde birçok tartışmayla beraber Jüri Özel Ödülü'nü almıştır. Çarpışma,	1996 yılında Cannes Film Festivali'nde birçok tartışmayla beraber Jüri Özel Ödülü'nü almıştır. Çarpışma,	yazarı J	yazarı J	space:merge	word
boşaltıldıve	boşaltıldı ve	Yassıada Yargılamaları sonunda ölüm cezasına çarptırılan Demokrat Parti dönemi başbakanı Adnan Menderes, dışişleri bakanı Fatin Rüştü Zorlu ve maliye bakanı Hasan Polatkan'ın cezaları burada infaz edildi ve naaaşları 29 sene İmralı Adasında kaldı.1999'da,PKK lideri Abdullah Öcalan buraya nakledilene kadar adadaki mahkumların çalıştığı tarımsal işletmelerin ürünleri İstanbul ve diğer şehirlerde satılmaktaydı, mahkumlar sabun ve konserve fabrikası gibi fabrikalarda çalışıyorlardı ve belli bir ücret alıyorlardı. Öcalan'ın gelmesiyle adadaki diğer mahkumlar	Yassıada Yargılamaları sonunda ölüm cezasına çarptırılan Demokrat Parti dönemi başbakanı Adnan Menderes, dışişleri bakanı Fatin Rüştü Zorlu ve maliye bakanı Hasan Polatkan'ın cezaları burada infaz edildi ve naaaşları 29 sene İmralı Adasında kaldı.1999'da,PKK lideri Abdullah Öcalan buraya nakledilene kadar adadaki mahkumların çalıştığı tarımsal işletmelerin ürünleri İstanbul ve diğer şehirlerde satılmaktaydı, mahkumlar sabun ve konserve fabrikası gibi fabrikalarda çalışıyorlardı ve belli bir ücret alıyorlardı. Öcalan'ın gelmesiyle adadaki diğer mahkumlar	ada	ada	space:split	nonword
beraberilgisizlikten	beraber ilgisizlikten	TURİZİM:Köyümüz bir ara ismi değiştirilerek Atatürk örnek tatil köyüne çevrilmiş ama iç işleri bakanlığından onay gelmeyince eski adına geri dönmüştür. Sulama barajı olarak yapılmış olan çuğun(Çoğun) barajı köyün olduğu kadar çevre ilçelerin de mesire yeri konumndadır.Mevki olarak gelişmeye çok uygun olmakla	TURİZİM:Köyümüz bir ara ismi değiştirilerek Atatürk örnek tatil köyüne çevrilmiş ama iç işleri bakanlığından onay gelmeyince! eski adına geri dönmüştür. Sulama barajı olarak yapılmış olan çuğun(Çoğun) barajı köyün olduğu kadar çevre ilçelerin de mesire yeri konumndadır.Mevki olarak gelişmeye çok uygun olmakla	dolayı hakettiği yeri alamamıştır	dolayı hakettiği yeri alamamıştır.Nejdet USLU	space:split	nonword
Tarihi	tarihi	Gold Cup	Gold Cup			capital	word
Dünya	dünya	Kırım Savaşının önemli çarpışmalarından biri olan bu baskında Rus Karadeniz donanması, Sinop'ta Osmanlı donanmasına ağır bir darbe indirdi. Yelkenli ahşap gemilerin çarpıştığı son muharebe ve gülle yerine patlayıcı mermi atan topların kullanıldığı ilk muharebe olarak,	Kırım Savaşının önemli çarpışmalarından biri olan bu baskında Rus Karadeniz donanması, Sinop'ta Osmanlı donanmasına ağır bir darbe indirdi. Yelkenli ahşap gemilerin çarpıştığı son muharebe ve gülle yerine patlayıcı mermi atan topların kullanıldığı ilk muharebe olarak,	deniz savaşları tarihinde Sinop Baskını'nın özel bir yeri vardır	deniz savaşları tarihinde Sinop Baskını'nın özel bir yeri vardır	capital	word
